sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0183,2.9817,-0.0183,0.0,1.0,0
1,0.0167,0.0,0.0161,2.9656,-0.0161,0.004363,0.99999,0
2,0.0333,0.0,0.0172,2.9484,-0.0172,0.008727,0.999962,0
3,0.05,0.0,0.0157,2.9327,-0.0157,0.01309,0.999914,0
4,0.0667,0.0,0.0185,2.9142,-0.0185,0.017452,0.999848,0
5,0.0833,0.0,0.0156,2.8986,-0.0156,0.021815,0.999762,0
6,0.1,0.0,0.0193,2.8793,-0.0193,0.026177,0.999657,0
7,0.1167,0.0,0.0144,2.8649,-0.0144,0.030539,0.999534,0
8,0.1333,0.0,0.0178,2.8471,-0.0178,0.034899,0.999391,0
9,0.15,0.0,0.0167,2.8304,-0.0167,0.03926,0.999229,0
10,0.1667,0.0,0.015,2.8154,-0.015,0.043619,0.999048,0
11,0.1833,0.0,0.013,2.8024,-0.013,0.047978,0.998848,0
12,0.2,0.0,0.0138,2.7886,-0.0138,0.052336,0.99863,0
13,0.2167,0.0,0.0214,2.7672,-0.0214,0.056693,0.998392,0
14,0.2333,0.0,0.0202,2.747,-0.0202,0.061049,0.998135,0
15,0.25,0.0,0.0145,2.7325,-0.0145,0.065403,0.997859,0
16,0.2667,0.0,0.0154,2.7171,-0.0154,0.069756,0.997564,0
17,0.2833,0.0,0.0174,2.6997,-0.0174,0.074108,0.99725,0
18,0.3,0.0,0.018,2.6817,-0.018,0.078459,0.996917,0
19,0.3167,0.0,0.017,2.6647,-0.017,0.082808,0.996566,0
20,0.3333,0.0,0.0159,2.6488,-0.0159,0.087156,0.996195,0
21,0.35,0.0,0.0192,2.6296,-0.0192,0.091502,0.995805,0
22,0.3667,0.0,0.0163,2.6133,-0.0163,0.095846,0.995396,0
23,0.3833,0.0,0.0157,2.5976,-0.0157,0.100188,0.994969,0
24,0.4,0.0,0.0166,2.581,-0.0166,0.104528,0.994522,0
25,0.4167,0.0,0.0182,2.5628,-0.0182,0.108867,0.994056,0
26,0.4333,0.0,0.016,2.5468,-0.016,0.113203,0.993572,0
27,0.45,0.0,0.0182,2.5286,-0.0182,0.117537,0.993068,0
28,0.4667,0.0,0.0157,2.5129,-0.0157,0.121869,0.992546,0
29,0.4833,0.0,0.0178,2.4951,-0.0178,0.126199,0.992005,0
30,0.5,0.0,0.0194,2.4757,-0.0194,0.130526,0.991445,0
31,0.5167,0.0,0.0197,2.456,-0.0197,0.134851,0.990866,0
32,0.5333,0.0,0.0181,2.4379,-0.0181,0.139173,0.990268,0
33,0.55,0.0,0.0157,2.4222,-0.0157,0.143493,0.989651,0
34,0.5667,0.0,0.0182,2.404,-0.0182,0.147809,0.989016,0
35,0.5833,0.0,0.0167,2.3873,-0.0167,0.152123,0.988362,0
36,0.6,0.0,0.0171,2.3702,-0.0171,0.156434,0.987688,0
37,0.6167,0.0,0.0163,2.3539,-0.0163,0.160743,0.986996,0
38,0.6333,0.0,0.0146,2.3393,-0.0146,0.165048,0.986286,0
39,0.65,0.0,0.0179,2.3214,-0.0179,0.16935,0.985556,0
40,0.6667,0.0,0.0163,2.3051,-0.0163,0.173648,0.984808,0
41,0.6833,0.0,0.0158,2.2893,-0.0158,0.177944,0.984041,0
42,0.7,0.0,0.0168,2.2725,-0.0168,0.182236,0.983255,0
43,0.7167,0.0,0.0178,2.2547,-0.0178,0.186524,0.98245,0
44,0.7333,0.0,0.0148,2.2399,-0.0148,0.190809,0.981627,0
45,0.75,0.0,0.0163,2.2236,-0.0163,0.19509,0.980785,0
46,0.7667,0.0,0.0153,2.2083,-0.0153,0.199368,0.979925,0
47,0.7833,0.0,0.0201,2.1882,-0.0201,0.203642,0.979045,0
48,0.8,0.0,0.0174,2.1708,-0.0174,0.207912,0.978148,0
49,0.8167,0.0,0.0151,2.1557,-0.0151,0.212178,0.977231,0
50,0.8333,0.0,0.0166,2.1391,-0.0166,0.21644,0.976296,0
51,0.85,0.0,0.0186,2.1205,-0.0186,0.220697,0.975342,0
52,0.8667,0.0,0.0161,2.1044,-0.0161,0.224951,0.97437,0
53,0.8833,0.0,0.0153,2.0891,-0.0153,0.2292,0.973379,0
54,0.9,0.0,0.014,2.0751,-0.014,0.233445,0.97237,0
55,0.9167,0.0,0.0158,2.0593,-0.0158,0.237686,0.971342,0
56,0.9333,0.0,0.0177,2.0416,-0.0177,0.241922,0.970296,0
57,0.95,0.0,0.0171,2.0245,-0.0171,0.246153,0.969231,0
58,0.9667,0.0,0.0139,2.0106,-0.0139,0.25038,0.968148,0
59,0.9833,0.0,0.0194,1.9912,-0.0194,0.254602,0.967046,0
60,1.0,0.0,0.0148,1.9764,-0.0148,0.258819,0.965926,0
61,1.0167,0.0,0.018,1.9584,-0.018,0.263031,0.964787,0
62,1.0333,0.0,0.0143,1.9441,-0.0143,0.267238,0.96363,0
63,1.05,0.0,0.0159,1.9282,-0.0159,0.27144,0.962455,0
64,1.0667,0.0,0.0117,1.9165,-0.0117,0.275637,0.961262,0
65,1.0833,0.0,0.017,1.8995,-0.017,0.279829,0.96005,0
66,1.1,0.0,0.0148,1.8847,-0.0148,0.284015,0.95882,0
67,1.1167,0.0,0.016,1.8687,-0.016,0.288196,0.957571,0
68,1.1333,0.0,0.0169,1.8518,-0.0169,0.292372,0.956305,0
69,1.15,0.0,0.0202,1.8316,-0.0202,0.296542,0.95502,0
70,1.1667,0.0,0.0149,1.8167,-0.0149,0.300706,0.953717,0
71,1.1833,0.0,0.0194,1.7973,-0.0194,0.304864,0.952396,0
72,1.2,0.0,0.0177,1.7796,-0.0177,0.309017,0.951057,0
73,1.2167,0.0,0.0154,1.7642,-0.0154,0.313164,0.949699,0
74,1.2333,0.0,0.0166,1.7476,-0.0166,0.317305,0.948324,0
75,1.25,0.0,0.0161,1.7315,-0.0161,0.321439,0.94693,0
76,1.2667,0.0,0.0174,1.7141,-0.0174,0.325568,0.945519,0
