sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0191,4.9809,-0.0191,0.0,1.0,0
1,0.0167,0.0,0.0204,4.9605,-0.0204,0.004363,0.99999,0
2,0.0333,0.0,0.0216,4.9389,-0.0216,0.008727,0.999962,0
3,0.05,0.0,0.0181,4.9208,-0.0181,0.01309,0.999914,0
4,0.0667,0.0,0.0193,4.9015,-0.0193,0.017452,0.999848,0
5,0.0833,0.0,0.0201,4.8814,-0.0201,0.021815,0.999762,0
6,0.1,0.0,0.0199,4.8615,-0.0199,0.026177,0.999657,0
7,0.1167,0.0,0.0205,4.841,-0.0205,0.030539,0.999534,0
8,0.1333,0.0,0.0244,4.8166,-0.0244,0.034899,0.999391,0
9,0.15,0.0,0.025,4.7916,-0.025,0.03926,0.999229,0
10,0.1667,0.0,0.017,4.7746,-0.017,0.043619,0.999048,0
11,0.1833,0.0,0.021,4.7536,-0.021,0.047978,0.998848,0
12,0.2,0.0,0.0214,4.7322,-0.0214,0.052336,0.99863,0
13,0.2167,0.0,0.018,4.7142,-0.018,0.056693,0.998392,0
14,0.2333,0.0,0.023,4.6912,-0.023,0.061049,0.998135,0
15,0.25,0.0,0.0221,4.6691,-0.0221,0.065403,0.997859,0
16,0.2667,0.0,0.0205,4.6486,-0.0205,0.069756,0.997564,0
17,0.2833,0.0,0.0233,4.6253,-0.0233,0.074108,0.99725,0
18,0.3,0.0,0.02,4.6053,-0.02,0.078459,0.996917,0
19,0.3167,0.0,0.0222,4.5831,-0.0222,0.082808,0.996566,0
20,0.3333,0.0,0.0233,4.5598,-0.0233,0.087156,0.996195,0
21,0.35,0.0,0.0174,4.5424,-0.0174,0.091502,0.995805,0
22,0.3667,0.0,0.0196,4.5228,-0.0196,0.095846,0.995396,0
23,0.3833,0.0,0.0194,4.5034,-0.0194,0.100188,0.994969,0
24,0.4,0.0,0.0222,4.4812,-0.0222,0.104528,0.994522,0
25,0.4167,0.0,0.021,4.4602,-0.021,0.108867,0.994056,0
26,0.4333,0.0,0.0226,4.4376,-0.0226,0.113203,0.993572,0
27,0.45,0.0,0.0189,4.4187,-0.0189,0.117537,0.993068,0
28,0.4667,0.0,0.0198,4.3989,-0.0198,0.121869,0.992546,0
29,0.4833,0.0,0.02,4.3789,-0.02,0.126199,0.992005,0
30,0.5,0.0,0.0179,4.361,-0.0179,0.130526,0.991445,0
31,0.5167,0.0,0.0176,4.3434,-0.0176,0.134851,0.990866,0
32,0.5333,0.0,0.0209,4.3225,-0.0209,0.139173,0.990268,0
33,0.55,0.0,0.0195,4.303,-0.0195,0.143493,0.989651,0
34,0.5667,0.0,0.0157,4.2873,-0.0157,0.147809,0.989016,0
35,0.5833,0.0,0.0209,4.2664,-0.0209,0.152123,0.988362,0
36,0.6,0.0,0.0244,4.242,-0.0244,0.156434,0.987688,0
